"ESS","famille","typo_C","typo_C_det","taille_etab","IDF","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","1 - Micro entreprise","IDF","80","69","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","2 - Petites entreprises","Hors IDF","2467","2069","54202","38765","879897686"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","2 - Petites entreprises","IDF","142","112","3310","2589","65497651"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","3 - Moyennes entreprises","Hors IDF","663","532","54997","41516","937641601"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","3 - Moyennes entreprises","IDF","51","45","4165","3298","78378009"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","4 - Grandes entreprises","Hors IDF","76","61","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","4 - Grandes entreprises","IDF","4","4","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","1 - Micro entreprise","Hors IDF","227","74","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","1 - Micro entreprise","IDF","46","20","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","2 - Petites entreprises","Hors IDF","551","131","14004","12793","290556289"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","2 - Petites entreprises","IDF","73","16","s","s","42150177"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","3 - Moyennes entreprises","Hors IDF","937","157","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","3 - Moyennes entreprises","IDF","163","27","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","4 - Grandes entreprises","Hors IDF","52","8","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","4 - Grandes entreprises","IDF","1","0","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","1 - Micro entreprise","Hors IDF","14218","13363","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","1 - Micro entreprise","IDF","4680","4437","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","2 - Petites entreprises","Hors IDF","418","401","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","2 - Petites entreprises","IDF","127","119","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","3 - Moyennes entreprises","Hors IDF","21","21","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","3 - Moyennes entreprises","IDF","19","19","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","4 - Grandes entreprises","Hors IDF","2","2","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","1 - Micro entreprise","Hors IDF","3175","199","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","1 - Micro entreprise","IDF","358","83","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","2 - Petites entreprises","Hors IDF","643","105","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","2 - Petites entreprises","IDF","119","37","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","3 - Moyennes entreprises","Hors IDF","233","38","25098","23425","950766034"
"ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","3 - Moyennes entreprises","IDF","64","30","6686","6292","321744936"
"ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","4 - Grandes entreprises","Hors IDF","36","15","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","4 - Grandes entreprises","IDF","13","6","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","1 - Micro entreprise","Hors IDF","1863","1668","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","1 - Micro entreprise","IDF","466","436","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","2 - Petites entreprises","Hors IDF","442","340","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","2 - Petites entreprises","IDF","165","145","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","3 - Moyennes entreprises","Hors IDF","96","68","7624","6646","229636251"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","3 - Moyennes entreprises","IDF","42","31","3051","2586","108948622"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","4 - Grandes entreprises","IDF","2","2","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","1 - Micro entreprise","Hors IDF","355","279","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","1 - Micro entreprise","IDF","21","16","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","2 - Petites entreprises","Hors IDF","249","178","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","2 - Petites entreprises","IDF","10","6","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","3 - Moyennes entreprises","Hors IDF","77","49","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","3 - Moyennes entreprises","IDF","8","4","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","4 - Grandes entreprises","Hors IDF","3","3","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","1 - Micro entreprise","Hors IDF","462","402","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","1 - Micro entreprise","IDF","36","32","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","2 - Petites entreprises","Hors IDF","254","212","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","2 - Petites entreprises","IDF","25","17","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","3 - Moyennes entreprises","Hors IDF","34","27","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","3 - Moyennes entreprises","IDF","10","8","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","4 - Grandes entreprises","IDF","2","1","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","1 - Micro entreprise","Hors IDF","606","589","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","1 - Micro entreprise","IDF","153","144","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","2 - Petites entreprises","Hors IDF","4","4","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","2 - Petites entreprises","IDF","7","7","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","3 - Moyennes entreprises","Hors IDF","1","1","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","3 - Moyennes entreprises","IDF","1","1","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","1 - Micro entreprise","Hors IDF","1831","1758","s","1265","35175519"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","1 - Micro entreprise","IDF","337","327","s","226","8040456"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","2 - Petites entreprises","Hors IDF","394","383","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","2 - Petites entreprises","IDF","77","75","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","3 - Moyennes entreprises","Hors IDF","12","10","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","3 - Moyennes entreprises","IDF","9","9","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","1 - Micro entreprise","Hors IDF","1709","1645","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","1 - Micro entreprise","IDF","187","173","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","2 - Petites entreprises","Hors IDF","38","34","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","2 - Petites entreprises","IDF","7","7","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","3 - Moyennes entreprises","Hors IDF","2","2","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","3 - Moyennes entreprises","IDF","4","4","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","1 - Micro entreprise","Hors IDF","2784","2100","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","1 - Micro entreprise","IDF","150","110","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","2 - Petites entreprises","Hors IDF","4193","2848","88787","77379","2515467012"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","2 - Petites entreprises","IDF","510","297","11765","10060","344635285"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","3 - Moyennes entreprises","Hors IDF","1171","852","95385","84814","3032660723"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","3 - Moyennes entreprises","IDF","272","195","22338","19113","716289643"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","4 - Grandes entreprises","Hors IDF","40","36","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","4 - Grandes entreprises","IDF","18","16","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","1 - Micro entreprise","Hors IDF","2001","1361","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","1 - Micro entreprise","IDF","491","396","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","2 - Petites entreprises","Hors IDF","761","387","13491","11377","379968578"
"ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","2 - Petites entreprises","IDF","166","103","3042","2619","100688789"
"ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","3 - Moyennes entreprises","Hors IDF","114","67","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","3 - Moyennes entreprises","IDF","32","19","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","4 - Grandes entreprises","Hors IDF","1","1","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","4 - Grandes entreprises","IDF","1","1","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","1 - Micro entreprise","Hors IDF","435","369","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","1 - Micro entreprise","IDF","48","47","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","2 - Petites entreprises","Hors IDF","187","167","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","2 - Petites entreprises","IDF","33","31","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","3 - Moyennes entreprises","Hors IDF","16","16","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","3 - Moyennes entreprises","IDF","4","4","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","1 - Micro entreprise","Hors IDF","2225","740","8995","9318","274657439"
"ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","1 - Micro entreprise","IDF","434","90","1611","1829","58310118"
"ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","2 - Petites entreprises","Hors IDF","4304","1045","113745","98959","2826096848"
"ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","2 - Petites entreprises","IDF","789","145","19449","17241","529980964"
"ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","3 - Moyennes entreprises","Hors IDF","3037","1081","218088","190837","5381925697"
"ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","3 - Moyennes entreprises","IDF","453","77","34539","30703","904462291"
"ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","4 - Grandes entreprises","Hors IDF","20","12","6918","6058","174506873"
"ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","4 - Grandes entreprises","IDF","6","3","2290","2203","67373948"
"ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","1 - Micro entreprise","Hors IDF","2258","2036","2979","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","1 - Micro entreprise","IDF","209","194","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","2 - Petites entreprises","Hors IDF","456","389","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","2 - Petites entreprises","IDF","61","41","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","3 - Moyennes entreprises","Hors IDF","41","30","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","3 - Moyennes entreprises","IDF","16","10","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","4 - Grandes entreprises","Hors IDF","2","2","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","4 - Grandes entreprises","IDF","2","0","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Sports","1 - Micro entreprise","Hors IDF","25729","24730","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Sports","1 - Micro entreprise","IDF","3637","3490","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Sports","2 - Petites entreprises","Hors IDF","1182","1089","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Sports","2 - Petites entreprises","IDF","510","474","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Sports","3 - Moyennes entreprises","Hors IDF","78","69","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Sports","3 - Moyennes entreprises","IDF","61","56","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Sports","4 - Grandes entreprises","Hors IDF","2","2","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Sports","4 - Grandes entreprises","IDF","5","3","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","1 - Micro entreprise","Hors IDF","62","22","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","1 - Micro entreprise","IDF","17","11","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","2 - Petites entreprises","Hors IDF","18","8","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","2 - Petites entreprises","IDF","4","2","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","3 - Moyennes entreprises","Hors IDF","3","3","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","3 - Moyennes entreprises","IDF","3","3","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","4 - Grandes entreprises","Hors IDF","1","0","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","4 - Grandes entreprises","IDF","1","1","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants et d adolescents","1 - Micro entreprise","Hors IDF","94","24","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants et d adolescents","1 - Micro entreprise","IDF","51","6","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants et d adolescents","2 - Petites entreprises","Hors IDF","151","17","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants et d adolescents","2 - Petites entreprises","IDF","40","2","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants et d adolescents","3 - Moyennes entreprises","Hors IDF","7","2","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants et d adolescents","3 - Moyennes entreprises","IDF","2","0","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants et d adolescents","4 - Grandes entreprises","Hors IDF","1","0","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants et d adolescents","4 - Grandes entreprises","IDF","5","1","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants handicapes","1 - Micro entreprise","Hors IDF","42","4","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants handicapes","1 - Micro entreprise","IDF","7","3","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants handicapes","2 - Petites entreprises","Hors IDF","35","3","648","548","18630913"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants handicapes","2 - Petites entreprises","IDF","3","0","39","23","851668"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants handicapes","3 - Moyennes entreprises","Hors IDF","7","2","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants handicapes","3 - Moyennes entreprises","IDF","3","3","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","1 - Micro entreprise","Hors IDF","2657","1549","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","1 - Micro entreprise","IDF","918","358","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","2 - Petites entreprises","Hors IDF","862","377","12524","10893","258761790"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","2 - Petites entreprises","IDF","787","203","14082","12901","328087638"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","3 - Moyennes entreprises","Hors IDF","135","88","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","3 - Moyennes entreprises","IDF","54","35","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","4 - Grandes entreprises","Hors IDF","10","0","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","4 - Grandes entreprises","IDF","5","1","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","1 - Micro entreprise","Hors IDF","1929","1664","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","1 - Micro entreprise","IDF","322","239","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","2 - Petites entreprises","Hors IDF","1006","795","18965","16685","443361486"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","2 - Petites entreprises","IDF","211","186","4007","3711","107745300"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","3 - Moyennes entreprises","Hors IDF","408","337","38507","34183","927348168"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","3 - Moyennes entreprises","IDF","87","69","7736","6958","209575112"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","4 - Grandes entreprises","Hors IDF","76","41","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","4 - Grandes entreprises","IDF","18","11","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","1 - Micro entreprise","Hors IDF","28127","23206","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","1 - Micro entreprise","IDF","5792","4875","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","2 - Petites entreprises","Hors IDF","1253","755","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","2 - Petites entreprises","IDF","654","515","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","3 - Moyennes entreprises","Hors IDF","168","72","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","3 - Moyennes entreprises","IDF","145","93","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","4 - Grandes entreprises","Hors IDF","24","11","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","4 - Grandes entreprises","IDF","32","15","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","1 - Micro entreprise","Hors IDF","28746","21067","73760","71931","3872614484"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","1 - Micro entreprise","IDF","9472","6911","25543","25870","1893346550"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","2 - Petites entreprises","Hors IDF","2783","1274","48622","46112","2479421755"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","2 - Petites entreprises","IDF","1413","620","25884","25008","1762955485"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","3 - Moyennes entreprises","Hors IDF","305","68","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","3 - Moyennes entreprises","IDF","247","106","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","4 - Grandes entreprises","Hors IDF","39","8","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","4 - Grandes entreprises","IDF","133","35","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","1 - Micro entreprise","Hors IDF","1220","966","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","1 - Micro entreprise","IDF","330","266","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","2 - Petites entreprises","Hors IDF","1726","1182","34981","25030","531618088"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","2 - Petites entreprises","IDF","395","308","8109","6048","134712242"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","3 - Moyennes entreprises","Hors IDF","525","320","34350","25375","538144159"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","3 - Moyennes entreprises","IDF","109","77","6522","4880","104661336"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","4 - Grandes entreprises","Hors IDF","4","3","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","4 - Grandes entreprises","IDF","1","1","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","1 - Micro entreprise","Hors IDF","21","8","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","1 - Micro entreprise","IDF","5","5","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","2 - Petites entreprises","Hors IDF","73","30","1843","1586","38838834"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","2 - Petites entreprises","IDF","8","4","s","s","4919066"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","3 - Moyennes entreprises","Hors IDF","71","27","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","3 - Moyennes entreprises","IDF","5","1","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","4 - Grandes entreprises","Hors IDF","5","4","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","4 - Grandes entreprises","IDF","1","1","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","1 - Micro entreprise","Hors IDF","2264","2004","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","1 - Micro entreprise","IDF","1559","1449","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","2 - Petites entreprises","Hors IDF","323","266","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","2 - Petites entreprises","IDF","304","269","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","3 - Moyennes entreprises","Hors IDF","38","32","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","3 - Moyennes entreprises","IDF","59","51","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","4 - Grandes entreprises","Hors IDF","1","1","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","4 - Grandes entreprises","IDF","6","4","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","1 - Micro entreprise","Hors IDF","1491","149","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","1 - Micro entreprise","IDF","316","66","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","2 - Petites entreprises","Hors IDF","251","16","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","2 - Petites entreprises","IDF","63","25","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","3 - Moyennes entreprises","Hors IDF","99","24","11812","11309","612235804"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","3 - Moyennes entreprises","IDF","65","45","7758","7557","539604804"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","4 - Grandes entreprises","Hors IDF","30","9","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","4 - Grandes entreprises","IDF","47","20","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","1 - Micro entreprise","Hors IDF","1511","1231","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","1 - Micro entreprise","IDF","679","597","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","2 - Petites entreprises","Hors IDF","269","165","s","s","s"
