"REG","ESS_simp","typo_B","typo_B_det","sexe","CSP","nb_poste"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","579"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Employes","1984"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Ouvriers et Non codes","2369"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Professions intermediaires","2191"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","1042"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Employes","1055"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Ouvriers et Non codes","200"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Professions intermediaires","5968"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","864"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Hommes","Employes","353"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Hommes","Ouvriers et Non codes","290"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Hommes","Professions intermediaires","1370"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","26708"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Femmes","Employes","7830"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Femmes","Ouvriers et Non codes","1494"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Femmes","Professions intermediaires","43740"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","19672"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Hommes","Employes","2682"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Hommes","Ouvriers et Non codes","803"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Hommes","Professions intermediaires","15840"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","997"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Femmes","Employes","1768"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Femmes","Ouvriers et Non codes","126"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Femmes","Professions intermediaires","3144"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","1109"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Hommes","Employes","683"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Hommes","Ouvriers et Non codes","168"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Hommes","Professions intermediaires","2742"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","2651"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Femmes","Employes","40651"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Femmes","Ouvriers et Non codes","3153"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Femmes","Professions intermediaires","15986"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","1337"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Hommes","Employes","5185"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Hommes","Ouvriers et Non codes","3314"
"Nouvelle-Aquitaine","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Hommes","Professions intermediaires","5239"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","122"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Femmes","Employes","4095"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Femmes","Ouvriers et Non codes","381"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Femmes","Professions intermediaires","2725"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","46"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Hommes","Employes","116"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Hommes","Ouvriers et Non codes","44"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Hommes","Professions intermediaires","193"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","317"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Femmes","Employes","27679"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Femmes","Ouvriers et Non codes","251"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Femmes","Professions intermediaires","1022"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","102"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Hommes","Employes","1168"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Hommes","Ouvriers et Non codes","269"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Hommes","Professions intermediaires","111"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","141"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Femmes","Employes","738"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Femmes","Ouvriers et Non codes","2943"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Femmes","Professions intermediaires","1018"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","93"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Hommes","Employes","490"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Hommes","Ouvriers et Non codes","5794"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Hommes","Professions intermediaires","1278"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","1093"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Femmes","Employes","11451"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Femmes","Ouvriers et Non codes","1440"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Femmes","Professions intermediaires","5569"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","460"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Employes","1556"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Ouvriers et Non codes","1535"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Professions intermediaires","1570"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","1263"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Employes","1273"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Ouvriers et Non codes","145"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Professions intermediaires","6208"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","1003"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Hommes","Employes","261"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Hommes","Ouvriers et Non codes","191"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Hommes","Professions intermediaires","1412"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","27283"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Femmes","Employes","8667"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Femmes","Ouvriers et Non codes","1379"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Femmes","Professions intermediaires","45355"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","20329"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Hommes","Employes","3787"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Hommes","Ouvriers et Non codes","1070"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Hommes","Professions intermediaires","15210"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","1302"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Femmes","Employes","1814"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Femmes","Ouvriers et Non codes","92"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Femmes","Professions intermediaires","3532"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","1276"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Hommes","Employes","470"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Hommes","Ouvriers et Non codes","210"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Hommes","Professions intermediaires","2973"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","2752"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Femmes","Employes","36551"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Femmes","Ouvriers et Non codes","3334"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Femmes","Professions intermediaires","17509"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","1375"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Hommes","Employes","5814"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Hommes","Ouvriers et Non codes","3200"
"Occitanie","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Hommes","Professions intermediaires","5990"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","73"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Femmes","Employes","2371"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Femmes","Ouvriers et Non codes","73"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Femmes","Professions intermediaires","1803"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","22"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Hommes","Employes","59"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Hommes","Ouvriers et Non codes","5"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Hommes","Professions intermediaires","328"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","110"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Femmes","Employes","11791"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Femmes","Ouvriers et Non codes","73"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Femmes","Professions intermediaires","392"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","30"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Hommes","Employes","405"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Hommes","Ouvriers et Non codes","72"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Hommes","Professions intermediaires","47"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","94"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Femmes","Employes","627"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Femmes","Ouvriers et Non codes","3160"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Femmes","Professions intermediaires","806"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","68"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Hommes","Employes","418"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Hommes","Ouvriers et Non codes","5078"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Hommes","Professions intermediaires","777"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","694"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Femmes","Employes","6074"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Femmes","Ouvriers et Non codes","1145"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Femmes","Professions intermediaires","3709"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","252"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Employes","713"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Ouvriers et Non codes","1290"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Professions intermediaires","1155"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","503"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Employes","578"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Ouvriers et Non codes","99"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Professions intermediaires","2199"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","396"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Hommes","Employes","217"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Hommes","Ouvriers et Non codes","175"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Hommes","Professions intermediaires","542"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","17640"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Femmes","Employes","7830"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Femmes","Ouvriers et Non codes","708"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Femmes","Professions intermediaires","30485"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","13590"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Hommes","Employes","1425"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Hommes","Ouvriers et Non codes","471"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","Hommes","Professions intermediaires","10331"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","672"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Femmes","Employes","1232"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Femmes","Ouvriers et Non codes","44"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Femmes","Professions intermediaires","2063"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","935"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Hommes","Employes","210"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Hommes","Ouvriers et Non codes","81"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Formation d adulte","Hommes","Professions intermediaires","1858"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","1353"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Femmes","Employes","27849"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Femmes","Ouvriers et Non codes","1812"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Femmes","Professions intermediaires","9610"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","670"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Hommes","Employes","2645"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Hommes","Ouvriers et Non codes","1862"
"Pays de la Loire","ESS + Hors ESS","Ensemble des secteurs d'activité","Hebergement medico-social et social","Hommes","Professions intermediaires","2524"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","123"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Femmes","Employes","4639"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Femmes","Ouvriers et Non codes","321"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Femmes","Professions intermediaires","2408"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","35"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Hommes","Employes","97"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Hommes","Ouvriers et Non codes","41"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Accueil des jeunes enfants","Hommes","Professions intermediaires","183"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","267"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Femmes","Employes","20562"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Femmes","Ouvriers et Non codes","29"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Femmes","Professions intermediaires","618"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","87"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Hommes","Employes","956"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Hommes","Ouvriers et Non codes","83"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide a domicile","Hommes","Professions intermediaires","106"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","113"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Femmes","Employes","562"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Femmes","Ouvriers et Non codes","1918"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Femmes","Professions intermediaires","880"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","72"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Hommes","Employes","410"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Hommes","Ouvriers et Non codes","3502"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Aide par le travail","Hommes","Professions intermediaires","777"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","1002"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Femmes","Employes","8129"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Femmes","Ouvriers et Non codes","1746"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Femmes","Professions intermediaires","5438"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Cadres professions intellectuelles supérieures et chefs d entreprises","399"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Employes","983"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Ouvriers et Non codes","1764"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres actions sociales","Hommes","Professions intermediaires","1776"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Cadres professions intellectuelles supérieures et chefs d entreprises","831"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Employes","962"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Ouvriers et Non codes","167"
"Provence-Alpes-Côte d'Azur","ESS + Hors ESS","Ensemble des secteurs d'activité","Autres enseignements","Femmes","Professions intermediaires","1976"
