"ESS","famille","typo_C","typo_C_det","taille_etab","nb_etab","nb_ent","eff_31","eff_EQTP","rem_brut"
"ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","2 - Petites entreprises","3124","1774","61999","51178","1467752480"
"ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","3 - Moyennes entreprises","674","454","52103","43341","1117293609"
"ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","4 - Grandes entreprises","28","23","9961","8362","255392380"
"ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","1 - Micro entreprise","281","52","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","2 - Petites entreprises","31","4","s","s","39627205"
"ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","3 - Moyennes entreprises","13","3","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","4 - Grandes entreprises","7","2","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","1 - Micro entreprise","11046","1302","44131","45468","2016524500"
"ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","2 - Petites entreprises","2582","216","40278","39197","1864828065"
"ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","3 - Moyennes entreprises","161","16","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","4 - Grandes entreprises","107","39","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","1 - Micro entreprise","979","758","2720","4011","97489581"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","2 - Petites entreprises","2609","2181","57512","41354","945395337"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","3 - Moyennes entreprises","714","577","59162","44814","1016019610"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","4 - Grandes entreprises","80","65","38002","29459","657187992"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","1 - Micro entreprise","273","94","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","2 - Petites entreprises","624","147","s","s","332706466"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","3 - Moyennes entreprises","1100","184","118168","104515","1696994088"
"ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","4 - Grandes entreprises","53","8","16528","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","1 - Micro entreprise","18898","17800","10593","15411","546915339"
"ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","2 - Petites entreprises","545","520","6801","6732","239118067"
"ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","3 - Moyennes entreprises","40","40","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","4 - Grandes entreprises","2","2","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","1 - Micro entreprise","3533","282","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","2 - Petites entreprises","762","142","s","s","578238693"
"ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","3 - Moyennes entreprises","297","68","31784","29717","1272510970"
"ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","4 - Grandes entreprises","49","21","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","1 - Micro entreprise","2329","2104","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","2 - Petites entreprises","607","485","9572","7573","251037211"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","3 - Moyennes entreprises","138","99","10675","9233","338584873"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","4 - Grandes entreprises","2","2","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","1 - Micro entreprise","376","295","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","2 - Petites entreprises","259","184","5813","5232","155906719"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","3 - Moyennes entreprises","85","53","7023","6628","201095781"
"ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","4 - Grandes entreprises","3","3","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","1 - Micro entreprise","498","434","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","2 - Petites entreprises","279","229","6138","5940","197238186"
"ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","3 - Moyennes entreprises","44","35","4094","3968","144464786"
"ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","4 - Grandes entreprises","2","1","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","1 - Micro entreprise","759","733","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","2 - Petites entreprises","11","11","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","3 - Moyennes entreprises","2","2","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","1 - Micro entreprise","2168","2085","2304","1491","43215975"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","2 - Petites entreprises","471","458","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","3 - Moyennes entreprises","21","19","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","1 - Micro entreprise","1896","1818","1706","1332","36155961"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","2 - Petites entreprises","45","41","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","3 - Moyennes entreprises","6","6","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","1 - Micro entreprise","2934","2210","13832","12251","375112422"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","2 - Petites entreprises","4703","3145","100552","87440","2860102297"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","3 - Moyennes entreprises","1443","1047","117723","103927","3748950366"
"ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","4 - Grandes entreprises","58","52","18717","16384","754581796"
"ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","1 - Micro entreprise","2492","1757","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","2 - Petites entreprises","927","490","16533","13997","480657367"
"ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","3 - Moyennes entreprises","146","86","9309","7836","264095641"
"ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","4 - Grandes entreprises","2","2","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","1 - Micro entreprise","483","416","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","2 - Petites entreprises","220","198","3107","2838","85330672"
"ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","3 - Moyennes entreprises","20","20","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","1 - Micro entreprise","2659","830","10606","11147","332967557"
"ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","2 - Petites entreprises","5093","1190","133194","116200","3356077812"
"ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","3 - Moyennes entreprises","3490","1158","252627","221540","6286387988"
"ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","4 - Grandes entreprises","26","15","9208","8261","241880821"
"ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","1 - Micro entreprise","2467","2230","s","3484","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","2 - Petites entreprises","517","430","7573","6381","161838534"
"ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","3 - Moyennes entreprises","57","40","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","4 - Grandes entreprises","4","2","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Sports","1 - Micro entreprise","29366","28220","s","26066","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Sports","2 - Petites entreprises","1692","1563","18139","13999","437540070"
"ESS","Ensemble","Ensemble des secteurs d'activité","Sports","3 - Moyennes entreprises","139","125","s","s","s"
"ESS","Ensemble","Ensemble des secteurs d'activité","Sports","4 - Grandes entreprises","7","5","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","1 - Micro entreprise","79","33","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","2 - Petites entreprises","22","10","s","s","9003543"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","3 - Moyennes entreprises","6","6","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d adultes handicapes ou pers. agees","4 - Grandes entreprises","2","1","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants et d adolescents","1 - Micro entreprise","145","30","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants et d adolescents","2 - Petites entreprises","191","19","3506","3311","111547604"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants et d adolescents","3 - Moyennes entreprises","9","2","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants et d adolescents","4 - Grandes entreprises","6","1","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants handicapes","1 - Micro entreprise","49","7","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants handicapes","2 - Petites entreprises","38","3","687","571","19482581"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil d enfants handicapes","3 - Moyennes entreprises","10","5","942","847","26828218"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","1 - Micro entreprise","3575","1907","14323","12880","281509731"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","2 - Petites entreprises","1649","580","26606","23793","586849428"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","3 - Moyennes entreprises","189","123","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Accueil des jeunes enfants","4 - Grandes entreprises","15","1","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","1 - Micro entreprise","2251","1903","5148","4703","130564005"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","2 - Petites entreprises","1217","981","22972","20396","551106786"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","3 - Moyennes entreprises","495","406","46243","41141","1136923280"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Action sociale NCA","4 - Grandes entreprises","94","52","41550","37506","1103484213"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","1 - Micro entreprise","33919","28081","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","2 - Petites entreprises","1907","1270","s","s","1976513793"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","3 - Moyennes entreprises","313","165","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites de services financiers et d assurances","4 - Grandes entreprises","56","26","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","1 - Micro entreprise","38218","27978","99303","97801","5765961034"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","2 - Petites entreprises","4196","1894","74506","71121","4242377240"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","3 - Moyennes entreprises","552","174","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Activites des services financiers hors assurance et caisses","4 - Grandes entreprises","172","43","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","1 - Micro entreprise","1550","1232","3384","4482","98324144"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","2 - Petites entreprises","2121","1490","43090","31078","666330330"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","3 - Moyennes entreprises","634","397","40872","30255","642805495"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide a domicile","4 - Grandes entreprises","5","4","1924","1567","34888017"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","1 - Micro entreprise","26","13","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","2 - Petites entreprises","81","34","s","s","43757900"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","3 - Moyennes entreprises","76","28","6976","4411","110590707"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Aide par le travail","4 - Grandes entreprises","6","5","2025","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","1 - Micro entreprise","3823","3453","6076","8620","340045484"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","2 - Petites entreprises","627","535","9678","10323","448113941"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","3 - Moyennes entreprises","97","83","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Arts du spectacle vivant et soutien au spectacle vivant","4 - Grandes entreprises","7","5","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","1 - Micro entreprise","1807","215","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","2 - Petites entreprises","314","41","s","s","404826992"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","3 - Moyennes entreprises","164","69","19570","18866","1151840608"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Assurances","4 - Grandes entreprises","77","29","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","1 - Micro entreprise","2190","1828","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","2 - Petites entreprises","409","269","5875","4600","163524210"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","3 - Moyennes entreprises","93","58","7474","5846","194559496"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres enseignements","4 - Grandes entreprises","91","58","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","1 - Micro entreprise","67089","54561","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","2 - Petites entreprises","27038","20027","575931","548672","19978454150"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","3 - Moyennes entreprises","7946","5119","810414","782054","32131813471"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Autres industries (BE)","4 - Grandes entreprises","1511","828","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","1 - Micro entreprise","210597","197287","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","2 - Petites entreprises","28768","23931","532933","502359","16647786789"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","3 - Moyennes entreprises","3217","1726","283523","275463","10542995910"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Construction (FZ)","4 - Grandes entreprises","171","88","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","1 - Micro entreprise","691","654","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","2 - Petites entreprises","26","22","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","3 - Moyennes entreprises","1","1","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Création artistique","4 - Grandes entreprises","1","1","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","1 - Micro entreprise","384","327","437","363","10922938"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","2 - Petites entreprises","47","30","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","3 - Moyennes entreprises","21","7","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement culturel","4 - Grandes entreprises","4","0","639","454","17426181"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","1 - Micro entreprise","3232","3070","4727","4920","115422720"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","2 - Petites entreprises","157","133","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement de disciplines sportives et d activites de lois","3 - Moyennes entreprises","28","25","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","1 - Micro entreprise","33389","1414","147192","142230","4986420797"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","2 - Petites entreprises","15819","2982","302049","279710","9883892259"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","3 - Moyennes entreprises","6372","5589","539144","502032","19409322001"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Enseignement primaire/secondaire/supérieur","4 - Grandes entreprises","400","259","210966","192415","7002915275"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","1 - Micro entreprise","15910","12960","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","2 - Petites entreprises","1748","1037","28764","25255","911084474"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","3 - Moyennes entreprises","261","88","16534","14326","543645596"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Formation d adultes","4 - Grandes entreprises","112","13","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","1 - Micro entreprise","254","186","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","2 - Petites entreprises","146","115","2498","2372","85858711"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","3 - Moyennes entreprises","25","21","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Gestion des spectacles","4 - Grandes entreprises","3","2","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","1 - Micro entreprise","833","370","2982","3230","90968180"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","2 - Petites entreprises","1882","1005","53739","48346","1345789418"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","3 - Moyennes entreprises","3268","2133","241371","218747","6131056548"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Hebergement medico-social et social","4 - Grandes entreprises","57","37","24610","22781","686678174"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","1 - Micro entreprise","6170","5561","s","11082","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","2 - Petites entreprises","603","495","8325","7755","205188957"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","3 - Moyennes entreprises","23","19","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Loisirs","4 - Grandes entreprises","6","5","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Sports","1 - Micro entreprise","6710","5698","s","14139","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Sports","2 - Petites entreprises","972","682","16495","14674","487944341"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Sports","3 - Moyennes entreprises","104","88","s","s","s"
"Hors ESS","Ensemble","Ensemble des secteurs d'activité","Sports","4 - Grandes entreprises","5","3","s","s","s"
"ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","Toutes entreprises","33559","15998","945572","806352","20689621267"
"ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Toutes entreprises","18869","2147","254383","248903","11942892429"
"ESS","Ensemble","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Toutes entreprises","1432","1256","11356","10803","328208167"
"ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","Toutes entreprises","21869","20546","31016","34834","1215117867"
"ESS","Ensemble","AUTRES INDUSTRIES (BE sauf CA)+CONSTRUCTION (FZ)","Ensemble","Toutes entreprises","1546","1234","28074","26862","866956502"
"ESS","Ensemble","COMMERCE (GZ)","Ensemble","Toutes entreprises","4608","1353","54192","53189","1897682387"
"ESS","Ensemble","ENSEIGNEMENT (PZ)","Ensemble","Toutes entreprises","20388","15906","317559","275430","9602748790"
"ESS","Ensemble","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Toutes entreprises","3414","2126","22884","24096","666578353"
"ESS","Ensemble","INDUSTRIES ALIMENTAIRES (CA)","Ensemble","Toutes entreprises","1093","923","25213","24613","926443911"
"ESS","Ensemble","INFORMATION ET COMMUNICATION (JZ)","Ensemble","Toutes entreprises","2704","2482","s","s","s"
"ESS","Ensemble","NON-CLASSES (94.99Z)","Ensemble","Toutes entreprises","43351","39082","160182","138923","4253322521"
"ESS","Ensemble","ORGANISMES EXTRATERRITORIAUX","Ensemble","Toutes entreprises","4","4","s","s","s"
"ESS","Ensemble","SANTE HUMAINE (QA)","Ensemble","Toutes entreprises","4837","1944","182633","159152","6212212179"
"ESS","Ensemble","SERVICES DIVERS","Ensemble","Toutes entreprises","6731","5767","52333","45535","1497902091"
"ESS","Ensemble","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Toutes entreprises","14064","11296","150214","140943","4498316313"
"ESS","Ensemble","SPORTS ET LOISIRS (RZ2)","Ensemble","Toutes entreprises","34249","32615","76887","62043","1819602480"
"Hors ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","Toutes entreprises","20581","12818","603765","529921","14327791669"
"Hors ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","Toutes entreprises","81695","59985","595141","568434","35715897489"
"Hors ESS","Ensemble","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","Toutes entreprises","99173","97212","230579","235801","6116391564"
"Hors ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","Toutes entreprises","7447","6065","84274","86957","3361372515"
"Hors ESS","Ensemble","AUTRES INDUSTRIES (BE sauf CA)+CONSTRUCTION (FZ)","Ensemble","Toutes entreprises","346337","303567","3885847","3767422","149796435828"
"Hors ESS","Ensemble","COMMERCE (GZ)","Ensemble","Toutes entreprises","444111","322507","3037648","2818429","95188932810"
"Hors ESS","Ensemble","ENSEIGNEMENT (PZ)","Ensemble","Toutes entreprises","80667","30147","1384860","1267118","46070930001"
"Hors ESS","Ensemble","HEBERGEMENT ET RESTAURATION (IZ)","Ensemble","Toutes entreprises","202160","177862","960476","924664","23943322776"
"Hors ESS","Ensemble","INDUSTRIES ALIMENTAIRES (CA)","Ensemble","Toutes entreprises","49012","42828","547840","519940","16511437426"
"Hors ESS","Ensemble","INFORMATION ET COMMUNICATION (JZ)","Ensemble","Toutes entreprises","56882","45364","s","s","s"
"Hors ESS","Ensemble","NON-CLASSES (94.99Z)","Ensemble","Toutes entreprises","1076","303","9630","8963","377176702"
"Hors ESS","Ensemble","ORGANISMES EXTRATERRITORIAUX","Ensemble","Toutes entreprises","429","294","s","s","s"
"Hors ESS","Ensemble","SANTE HUMAINE (QA)","Ensemble","Toutes entreprises","79135","69810","1421564","1305881","43870921049"
"Hors ESS","Ensemble","SERVICES DIVERS","Ensemble","Toutes entreprises","270901","213987","4437194","4188045","140801079960"
"Hors ESS","Ensemble","SOUTIEN AUX ENTREPRISES (MN)","Ensemble","Toutes entreprises","335512","281872","2532672","2328023","96787542563"
"Hors ESS","Ensemble","SPORTS ET LOISIRS (RZ2)","Ensemble","Toutes entreprises","14593","12551","78316","75244","3106734405"
"ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","1 - Micro entreprise","12561","6788","44120","44421","1254673757"
"ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","2 - Petites entreprises","14546","6613","323473","268146","7383874166"
"ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","3 - Moyennes entreprises","6262","2485","502679","431980","10633956106"
"ESS","Ensemble","ACTION SOCIALE (QB)","Ensemble","4 - Grandes entreprises","190","112","75300","61805","1417117238"
"ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","1 - Micro entreprise","14860","1636","56181","57479","2531715016"
"ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","2 - Petites entreprises","3375","362","55555","53313","2482693963"
"ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","3 - Moyennes entreprises","471","87","51888","49348","2281746449"
"ESS","Ensemble","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","4 - Grandes entreprises","163","62","90759","88763","4646737001"
"ESS","Ensemble","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","1 - Micro entreprise","1165","1073","s","s","s"
"ESS","Ensemble","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","2 - Petites entreprises","214","153","s","s","s"
"ESS","Ensemble","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","3 - Moyennes entreprises","52","29","s","s","104265538"
"ESS","Ensemble","AGRICULTURE SYLVICULTURE ET PECHE (AZ)","Ensemble","4 - Grandes entreprises","1","1","s","s","s"
"ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","1 - Micro entreprise","20894","19639","13468","18211","627127122"
"ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","2 - Petites entreprises","899","833","s","s","407819638"
"ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","3 - Moyennes entreprises","73","71","s","s","s"
"ESS","Ensemble","ARTS SPECTACLES (RZ1)","Ensemble","4 - Grandes entreprises","3","3","s","s","s"
"ESS","Ensemble","AUTRES INDUSTRIES (BE sauf CA)+CONSTRUCTION (FZ)","Ensemble","1 - Micro entreprise","874","729","2768","2910","91775431"
"ESS","Ensemble","AUTRES INDUSTRIES (BE sauf CA)+CONSTRUCTION (FZ)","Ensemble","2 - Petites entreprises","538","413","11951","11172","353144905"
"ESS","Ensemble","AUTRES INDUSTRIES (BE sauf CA)+CONSTRUCTION (FZ)","Ensemble","3 - Moyennes entreprises","129","88","11117","10596","345560567"
"ESS","Ensemble","AUTRES INDUSTRIES (BE sauf CA)+CONSTRUCTION (FZ)","Ensemble","4 - Grandes entreprises","5","4","2238","2184","76475599"
"ESS","Ensemble","COMMERCE (GZ)","Ensemble","1 - Micro entreprise","3566","859","s","s","s"
