"DEP","nom_jurid_coop","nb_etab","eff_31","eff_EQTP","rem_brut"
"72","Cooperative bancaire","99","1339","1354","60892914"
"72","Cooperative d artisans","3","74","71","2251864"
"72","Cooperative de commerçants detaillants","1","s","s","s"
"72","Cooperative de transport","1","s","s","s"
"72","SCOP","20","369","344","10349169"
"73","Autre cooperative","77","902","803","28227513"
"73","Cooperative HLM","1","s","s","s"
"73","Cooperative agricole","44","556","495","16228294"
"73","Cooperative bancaire","74","1078","1056","49076122"
"73","Cooperative d artisans","1","s","s","s"
"73","Cooperative de commerçants detaillants","3","18","17","927868"
"73","Cooperative de consommateurs","2","s","s","s"
"73","SCOP","15","185","184","4934639"
"74","Autre cooperative","120","1119","1146","47661649"
"74","Cooperative HLM","1","s","s","s"
"74","Cooperative agricole","16","231","207","7409492"
"74","Cooperative bancaire","130","1819","1804","83394017"
"74","Cooperative d artisans","7","72","73","2612021"
"74","Cooperative de consommateurs","2","s","s","s"
"74","SCOP","10","155","132","4315899"
"75","Autre cooperative","219","4107","3973","228317926"
"75","Cooperative agricole","12","167","159","11903553"
"75","Cooperative bancaire","204","9765","9576","610718585"
"75","Cooperative d artisans","4","s","s","s"
"75","Cooperative de commerçants detaillants","3","52","49","3039615"
"75","Cooperative de consommateurs","2","s","s","s"
"75","SCOP","74","1747","1454","50855492"
"76","Autre cooperative","56","287","283","11160077"
"76","Cooperative HLM","1","s","s","s"
"76","Cooperative agricole","75","1187","1148","44659184"
"76","Cooperative bancaire","254","2330","2399","117452870"
"76","Cooperative d artisans","5","51","58","1860870"
"76","Cooperative de consommateurs","8","325","297","8576251"
"76","Cooperative maritime","1","s","s","s"
"76","SCOP","27","433","438","15651129"
"77","Autre cooperative","58","444","441","18317396"
"77","Cooperative agricole","24","282","240","8793396"
"77","Cooperative bancaire","155","2079","2052","96038399"
"77","Cooperative d artisans","2","s","s","s"
"77","Cooperative de commerçants detaillants","1","s","s","s"
"77","Cooperative de consommateurs","1","s","s","s"
"77","SCOP","15","228","204","7227615"
"78","Autre cooperative","22","458","392","14002094"
"78","Cooperative agricole","8","48","30","1045375"
"78","Cooperative bancaire","173","1640","1636","82052699"
"78","Cooperative d artisans","1","s","s","s"
"78","Cooperative de transport","1","s","s","s"
"78","SCOP","16","192","187","6949926"
"79","Autre cooperative","40","385","377","12610246"
"79","Cooperative agricole","45","1172","1166","35525251"
"79","Cooperative bancaire","116","789","784","34262425"
"79","Cooperative d artisans","2","s","s","s"
"79","Cooperative de commerçants detaillants","1","s","s","s"
"79","Cooperative de consommateurs","5","75","71","1787373"
"79","Cooperative de transport","2","s","s","s"
"79","SCOP","24","685","643","18556210"
"80","Autre cooperative","5","s","s","s"
"80","Cooperative agricole","48","940","892","35442442"
"80","Cooperative bancaire","99","1813","1780","81194163"
"80","Cooperative d artisans","2","s","s","s"
"80","Cooperative de consommateurs","3","77","71","1779739"
"80","SCOP","11","164","144","3401691"
"81","Autre cooperative","19","200","167","5032216"
"81","Cooperative HLM","1","s","s","s"
"81","Cooperative agricole","63","506","564","18908823"
"81","Cooperative bancaire","114","1162","1176","51525719"
"81","Cooperative d artisans","2","s","s","s"
"81","Cooperative de commerçants detaillants","2","s","s","s"
"81","Cooperative de consommateurs","5","13","12","264880"
"81","Cooperative de transport","1","s","s","s"
"81","SCOP","40","364","334","9307888"
"82","Autre cooperative","6","91","s","s"
"82","Cooperative agricole","61","666","639","19818681"
"82","Cooperative bancaire","79","685","668","29506422"
"82","Cooperative de consommateurs","2","s","s","s"
"82","SCOP","12","s","71","1975389"
"83","Autre cooperative","26","165","141","4771587"
"83","Cooperative HLM","1","s","s","s"
"83","Cooperative agricole","70","505","499","19122157"
"83","Cooperative bancaire","192","2099","2071","94806514"
"83","Cooperative d artisans","2","s","s","s"
"83","Cooperative de consommateurs","3","16","14","396341"
"83","Cooperative de transport","1","s","s","s"
"83","SCOP","17","84","82","2811432"
"84","Autre cooperative","12","s","s","s"
"84","Cooperative agricole","71","1059","1154","43085180"
"84","Cooperative bancaire","90","1128","1099","50092335"
"84","Cooperative d artisans","4","9","8","204900"
"84","Cooperative de commerçants detaillants","2","s","s","s"
"84","Cooperative de consommateurs","1","s","s","s"
"84","Cooperative de transport","1","s","s","s"
"84","SCOP","27","245","217","6900518"
"85","Autre cooperative","53","763","723","25722117"
"85","Cooperative HLM","1","s","s","s"
"85","Cooperative agricole","113","1242","1249","44195203"
"85","Cooperative bancaire","217","2111","2122","97099464"
"85","Cooperative d artisans","19","705","682","23234010"
"85","Cooperative de commerçants detaillants","3","34","34","1042920"
"85","Cooperative de consommateurs","3","s","s","s"
"85","Cooperative maritime","15","68","61","2353926"
"85","SCOP","23","570","531","17316059"
"86","Autre cooperative","48","565","542","21185092"
"86","Cooperative agricole","35","732","751","25691925"
"86","Cooperative bancaire","109","946","956","43394809"
"86","Cooperative d artisans","2","s","s","s"
"86","Cooperative de consommateurs","11","308","294","7424264"
"86","SCOP","28","s","s","s"
"87","Autre cooperative","42","s","s","16704530"
"87","Cooperative agricole","33","438","416","s"
"87","Cooperative bancaire","30","1004","986","45703778"
"87","Cooperative d artisans","2","s","s","s"
"87","Cooperative de consommateurs","15","563","538","13175078"
"87","SCOP","34","590","572","18649248"
"88","Autre cooperative","24","245","249","7809459"
"88","Cooperative HLM","1","s","s","s"
"88","Cooperative agricole","24","689","671","22782849"
"88","Cooperative bancaire","115","776","764","32895111"
"88","Cooperative d artisans","1","s","s","s"
"88","Cooperative de consommateurs","3","s","7","181375"
"88","SCOP","14","203","200","6098360"
"89","Autre cooperative","58","445","442","18589097"
"89","Cooperative agricole","32","826","828","28437761"
"89","Cooperative bancaire","62","576","567","25841621"
"89","Cooperative d artisans","1","s","s","s"
"89","Cooperative de consommateurs","5","76","72","2001359"
"89","Cooperative de transport","1","s","s","s"
"89","SCOP","9","121","129","3956951"
"90","Autre cooperative","19","124","119","5387110"
"90","Cooperative bancaire","26","219","221","10335177"
"90","Cooperative de consommateurs","2","s","s","s"
"90","SCOP","1","s","s","s"
"91","Autre cooperative","25","464","477","18999157"
"91","Cooperative agricole","7","105","120","4352661"
"91","Cooperative bancaire","141","1079","1081","53440442"
"91","Cooperative de commerçants detaillants","3","s","s","s"
"91","Cooperative de consommateurs","3","s","s","s"
"91","SCOP","18","613","598","27567336"
"92","Autre cooperative","58","613","604","28080835"
"92","Cooperative agricole","3","102","104","4283343"
"92","Cooperative bancaire","120","1477","1547","84268664"
"92","Cooperative d artisans","1","s","s","s"
"92","Cooperative de commerçants detaillants","5","169","174","11088226"
"92","Cooperative de consommateurs","1","s","s","s"
"92","SCOP","19","1049","1025","50139631"
"93","Autre cooperative","55","1015","994","35264351"
"93","Cooperative HLM","1","s","s","s"
"93","Cooperative bancaire","85","599","617","29382901"
"93","Cooperative de commerçants detaillants","1","s","s","s"
"93","SCOP","31","300","314","10807965"
"94","Autre cooperative","69","2060","2056","105036514"
"94","Cooperative HLM","2","s","s","s"
"94","Cooperative bancaire","96","1032","1038","50699729"
"94","Cooperative de commerçants detaillants","2","s","s","s"
"94","Cooperative de consommateurs","1","s","s","s"
"94","SCOP","20","330","336","13142528"
"95","Autre cooperative","21","558","543","17998718"
"95","Cooperative HLM","1","s","s","s"
"95","Cooperative agricole","3","16","11","s"
"95","Cooperative bancaire","95","615","618","31515008"
"95","Cooperative d artisans","2","s","s","s"
"95","Cooperative de commerçants detaillants","1","s","s","s"
"95","Cooperative de consommateurs","1","s","s","s"
"95","SCOP","5","23","23","840569"
"971","Autre cooperative","24","223","225","10406785"
"971","Cooperative HLM","1","s","s","s"
"971","Cooperative agricole","12","68","64","2453637"
"971","Cooperative bancaire","59","716","724","43286392"
"971","Cooperative d artisans","6","9","12","281763"
"971","Cooperative de transport","4","6","s","s"
"971","SCOP","2","s","s","s"
"972","Autre cooperative","25","235","234","12048161"
"972","Cooperative agricole","10","69","62","2009061"
"972","Cooperative bancaire","68","744","761","43778295"
"972","Cooperative d artisans","2","s","s","s"
"972","Cooperative de transport","6","12","s","s"
"972","SCOP","1","s","s","s"
"973","Autre cooperative","8","72","68","3248096"
"973","Cooperative agricole","5","32","29","934367"
"973","Cooperative bancaire","8","s","s","s"
"973","Cooperative maritime","1","s","s","s"
"973","SCOP","2","s","s","s"
"974","Autre cooperative","60","1155","867","28182590"
"974","Cooperative agricole","34","477","463","19673582"
"974","Cooperative bancaire","92","1235","1253","76350428"
"974","Cooperative d artisans","1","s","s","s"
"974","Cooperative de commerçants detaillants","1","s","s","s"
"974","Cooperative de transport","3","11","9","241504"
"974","SCOP","8","165","125","2900444"
