"DEP","typo_Mut","typo_Mut_det","nb_etab","eff_31","eff_EQTP","rem_brut"
"14","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","52","509","477","18077415"
"14","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","48","183","176","6460750"
"14","SANTE HUMAINE (QA)","Ensemble","16","119","102","4133694"
"15","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","21","181","174","6454204"
"15","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","4","s","s","s"
"15","SANTE HUMAINE (QA)","Ensemble","2","s","s","s"
"16","ACTION SOCIALE (QB)","Ensemble","6","476","422","10686716"
"16","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","36","390","363","14058709"
"16","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","10","54","52","1860353"
"16","SANTE HUMAINE (QA)","Ensemble","7","96","90","4106719"
"17","ACTION SOCIALE (QB)","Ensemble","2","s","s","s"
"17","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","56","470","441","16429638"
"17","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","11","s","s","s"
"17","SANTE HUMAINE (QA)","Ensemble","10","s","s","s"
"18","ACTION SOCIALE (QB)","Ensemble","4","109","108","2686463"
"18","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","33","353","335","11674269"
"18","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","5","17","17","528690"
"18","SANTE HUMAINE (QA)","Ensemble","5","26","28","1601737"
"19","ACTION SOCIALE (QB)","Ensemble","8","43","40","s"
"19","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","25","205","196","7537147"
"19","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","7","s","s","s"
"19","SANTE HUMAINE (QA)","Ensemble","2","s","s","s"
"21","ACTION SOCIALE (QB)","Ensemble","43","2737","2244","51396063"
"21","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","55","889","850","34377764"
"21","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","16","89","82","2493576"
"21","SANTE HUMAINE (QA)","Ensemble","5","187","151","4796799"
"22","ACTION SOCIALE (QB)","Ensemble","10","301","234","6163978"
"22","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","39","727","686","24551417"
"22","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","10","43","41","1250685"
"22","SANTE HUMAINE (QA)","Ensemble","6","171","142","5549308"
"23","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","11","133","123","4472833"
"23","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","4","s","s","s"
"23","SANTE HUMAINE (QA)","Ensemble","2","s","s","s"
"24","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","32","173","170","5956636"
"24","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","7","s","s","s"
"24","SANTE HUMAINE (QA)","Ensemble","1","s","s","s"
"25","ACTION SOCIALE (QB)","Ensemble","14","555","447","12489916"
"25","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","50","399","371","14695044"
"25","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","11","45","38","1341450"
"25","SANTE HUMAINE (QA)","Ensemble","9","431","383","13003642"
"26","ACTION SOCIALE (QB)","Ensemble","41","1686","1369","36248554"
"26","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","40","853","774","30030678"
"26","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","14","54","56","1702797"
"26","SANTE HUMAINE (QA)","Ensemble","12","196","155","5926832"
"27","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","34","174","155","5755175"
"27","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","13","41","45","1594657"
"27","SANTE HUMAINE (QA)","Ensemble","10","48","49","2804279"
"28","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","33","s","s","s"
"28","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","5","s","s","s"
"28","SANTE HUMAINE (QA)","Ensemble","2","s","s","s"
"29","ACTION SOCIALE (QB)","Ensemble","21","814","680","17239904"
"29","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","64","1207","1158","44170824"
"29","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","28","77","71","2202641"
"29","SANTE HUMAINE (QA)","Ensemble","8","161","118","3844741"
"2A","ACTION SOCIALE (QB)","Ensemble","2","s","s","s"
"2A","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","14","79","76","3265047"
"2A","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","4","s","s","s"
"2A","SANTE HUMAINE (QA)","Ensemble","5","s","s","s"
"2B","ACTION SOCIALE (QB)","Ensemble","7","109","91","2804004"
"2B","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","20","133","127","5184051"
"2B","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","3","6","7","267987"
"2B","SANTE HUMAINE (QA)","Ensemble","6","42","37","2280142"
"30","ACTION SOCIALE (QB)","Ensemble","5","160","140","3618933"
"30","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","51","395","366","14251099"
"30","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","31","96","89","2460149"
"30","SANTE HUMAINE (QA)","Ensemble","16","196","163","8822004"
"31","ACTION SOCIALE (QB)","Ensemble","18","253","229","5179218"
"31","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","121","2033","1891","79664738"
"31","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","15","53","49","1593493"
"31","SANTE HUMAINE (QA)","Ensemble","14","252","217","8682304"
"32","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","16","s","s","s"
"32","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","2","s","s","s"
"33","ACTION SOCIALE (QB)","Ensemble","8","168","158","4591027"
"33","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","123","1948","1787","69810662"
"33","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","24","221","176","5929880"
"33","SANTE HUMAINE (QA)","Ensemble","9","827","753","30872963"
"34","ACTION SOCIALE (QB)","Ensemble","25","888","779","21033561"
"34","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","85","1977","1785","73425344"
"34","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","37","465","439","15176176"
"34","SANTE HUMAINE (QA)","Ensemble","22","977","891","35968407"
"35","ACTION SOCIALE (QB)","Ensemble","2","s","s","s"
"35","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","76","1338","1249","49514609"
"35","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","20","s","s","s"
"35","SANTE HUMAINE (QA)","Ensemble","13","s","s","s"
"36","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","19","101","95","3471214"
"36","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","8","40","38","1327759"
"36","SANTE HUMAINE (QA)","Ensemble","4","32","32","1794776"
"37","ACTION SOCIALE (QB)","Ensemble","22","510","440","11890559"
"37","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","58","1237","1139","50352759"
"37","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","14","191","180","5991364"
"37","SANTE HUMAINE (QA)","Ensemble","9","285","240","8833399"
"38","ACTION SOCIALE (QB)","Ensemble","28","1258","1104","31849168"
"38","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","80","995","940","40112666"
"38","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","34","252","222","7712716"
"38","SANTE HUMAINE (QA)","Ensemble","24","1521","1283","54924874"
"39","ACTION SOCIALE (QB)","Ensemble","10","86","74","1886027"
"39","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","28","187","170","6637267"
"39","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","12","81","69","2189999"
"39","SANTE HUMAINE (QA)","Ensemble","8","186","166","6076652"
"40","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","32","180","171","6372274"
"40","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","7","34","30","1023276"
"40","SANTE HUMAINE (QA)","Ensemble","8","49","43","2322318"
"41","ACTION SOCIALE (QB)","Ensemble","4","132","124","3486239"
"41","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","33","281","253","10279237"
"41","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","5","21","21","708544"
"41","SANTE HUMAINE (QA)","Ensemble","8","185","158","6129209"
"42","ACTION SOCIALE (QB)","Ensemble","18","731","575","16324208"
"42","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","56","1392","1256","46910089"
"42","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","19","108","101","3277392"
"42","SANTE HUMAINE (QA)","Ensemble","16","816","709","34464389"
"43","ACTION SOCIALE (QB)","Ensemble","2","s","s","s"
"43","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","17","146","132","5116598"
"43","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","2","s","s","s"
"43","SANTE HUMAINE (QA)","Ensemble","1","s","s","s"
"44","ACTION SOCIALE (QB)","Ensemble","55","1358","1133","30263852"
"44","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","94","1629","1545","60624452"
"44","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","27","185","164","5921341"
"44","SANTE HUMAINE (QA)","Ensemble","12","614","531","22843013"
"45","ACTION SOCIALE (QB)","Ensemble","7","138","128","3316410"
"45","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","57","2043","1918","84688460"
"45","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","11","46","47","1875198"
"45","SANTE HUMAINE (QA)","Ensemble","6","92","88","3491260"
"46","ACTION SOCIALE (QB)","Ensemble","2","s","s","s"
"46","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","18","157","148","5554764"
"46","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","7","24","20","761249"
"46","SANTE HUMAINE (QA)","Ensemble","1","s","s","s"
"47","ACTION SOCIALE (QB)","Ensemble","1","s","s","s"
"47","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","39","439","388","18254924"
"47","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","9","s","s","s"
"47","SANTE HUMAINE (QA)","Ensemble","6","s","s","s"
"48","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","9","28","23","905835"
"48","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","6","s","s","s"
"48","SANTE HUMAINE (QA)","Ensemble","2","s","s","s"
"49","ACTION SOCIALE (QB)","Ensemble","53","1242","1107","28337525"
"49","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","48","898","887","33512043"
"49","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","15","143","142","4678852"
"49","SANTE HUMAINE (QA)","Ensemble","8","206","162","5269837"
"50","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","33","152","139","5074937"
"50","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","4","s","s","s"
"50","SANTE HUMAINE (QA)","Ensemble","2","s","s","s"
"51","ACTION SOCIALE (QB)","Ensemble","1","s","s","s"
"51","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","47","873","820","37564216"
"51","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","3","s","s","s"
"51","SANTE HUMAINE (QA)","Ensemble","1","s","s","s"
"52","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","16","163","155","6042483"
"52","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","4","s","s","s"
"52","SANTE HUMAINE (QA)","Ensemble","2","s","s","s"
"53","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","20","409","344","14722721"
"53","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","5","36","36","1302069"
"53","SANTE HUMAINE (QA)","Ensemble","5","37","32","1473572"
"54","ACTION SOCIALE (QB)","Ensemble","2","s","s","s"
"54","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","77","1247","1177","45662454"
"54","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","11","s","s","s"
"54","SANTE HUMAINE (QA)","Ensemble","7","s","s","s"
"55","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","20","106","96","3790373"
"55","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","2","s","s","s"
"55","SANTE HUMAINE (QA)","Ensemble","3","s","s","s"
"56","ACTION SOCIALE (QB)","Ensemble","28","730","629","16274977"
"56","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","54","766","721","27427867"
"56","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","16","s","s","s"
"56","SANTE HUMAINE (QA)","Ensemble","4","s","s","s"
"57","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","58","502","469","18618606"
"57","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","9","21","19","604605"
"57","SANTE HUMAINE (QA)","Ensemble","3","26","27","1141830"
"58","ACTION SOCIALE (QB)","Ensemble","4","s","s","s"
"58","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","24","159","150","5913256"
"58","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","5","s","s","s"
"58","SANTE HUMAINE (QA)","Ensemble","4","s","s","s"
"59","ACTION SOCIALE (QB)","Ensemble","1","s","s","s"
"59","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","148","2433","2249","90512585"
"59","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","46","s","s","s"
"59","SANTE HUMAINE (QA)","Ensemble","26","s","s","s"
"60","ACTION SOCIALE (QB)","Ensemble","1","s","s","s"
"60","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","42","1000","923","40081181"
"60","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","6","s","s","s"
"60","SANTE HUMAINE (QA)","Ensemble","2","s","s","s"
"61","ACTION SOCIALE (QB)","Ensemble","2","s","s","s"
"61","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","25","159","149","5490871"
"61","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","9","s","s","s"
"61","SANTE HUMAINE (QA)","Ensemble","9","s","s","s"
"62","ACTION SOCIALE (QB)","Ensemble","1","s","s","s"
"62","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","78","1002","925","40151922"
"62","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","24","s","s","s"
"62","SANTE HUMAINE (QA)","Ensemble","12","142","122","5105632"
"63","ACTION SOCIALE (QB)","Ensemble","5","199","178","4513833"
"63","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","76","896","838","32879658"
"63","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","15","58","56","1771236"
"63","SANTE HUMAINE (QA)","Ensemble","10","50","40","2229748"
"64","ACTION SOCIALE (QB)","Ensemble","3","51","54","1308746"
"64","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","64","748","693","28661371"
"64","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","7","90","87","3113649"
"64","SANTE HUMAINE (QA)","Ensemble","3","68","62","4145957"
"65","ACTION SOCIALE (QB)","Ensemble","1","s","s","s"
"65","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","32","267","242","8312933"
"65","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","1","s","s","s"
"65","SANTE HUMAINE (QA)","Ensemble","2","s","s","s"
"66","ACTION SOCIALE (QB)","Ensemble","1","s","s","s"
"66","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","27","434","418","15221679"
"66","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","7","35","34","1032016"
"66","SANTE HUMAINE (QA)","Ensemble","1","s","s","s"
"67","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","58","1161","1090","47180128"
"67","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","10","67","63","2047464"
"67","SANTE HUMAINE (QA)","Ensemble","5","168","131","7154571"
"68","ACTION SOCIALE (QB)","Ensemble","1","s","s","s"
"68","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","41","665","585","27599295"
"68","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","4","s","s","s"
"68","SANTE HUMAINE (QA)","Ensemble","5","367","324","13300301"
"69","ACTION SOCIALE (QB)","Ensemble","21","s","35","1093421"
"69","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","150","3376","3127","142486968"
"69","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","12","s","118","3942454"
"69","SANTE HUMAINE (QA)","Ensemble","10","s","91","4399812"
"70","ACTION SOCIALE (QB)","Ensemble","1","s","s","s"
"70","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","20","174","154","6009656"
"70","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","8","55","51","1575660"
"70","SANTE HUMAINE (QA)","Ensemble","4","s","s","s"
"71","ACTION SOCIALE (QB)","Ensemble","12","638","525","12085915"
"71","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","62","528","502","19296792"
"71","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","15","52","51","1590447"
"71","SANTE HUMAINE (QA)","Ensemble","10","52","49","2321710"
"72","ACTION SOCIALE (QB)","Ensemble","2","s","s","s"
"72","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","42","509","479","20600913"
"72","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","9","63","65","s"
"72","SANTE HUMAINE (QA)","Ensemble","5","s","s","2262561"
"73","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","40","463","436","17119465"
"73","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","6","21","18","615974"
"73","SANTE HUMAINE (QA)","Ensemble","6","50","42","2169123"
"74","ACTION SOCIALE (QB)","Ensemble","3","19","15","356667"
"74","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","61","574","543","21008361"
"74","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","18","137","124","5090681"
"74","SANTE HUMAINE (QA)","Ensemble","17","329","295","11885454"
"75","ACTION SOCIALE (QB)","Ensemble","7","203","174","6637774"
"75","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","276","10799","10165","541361747"
"75","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","35","150","147","12276236"
"75","SANTE HUMAINE (QA)","Ensemble","20","3206","2656","120230977"
"76","ACTION SOCIALE (QB)","Ensemble","5","199","185","4800426"
"76","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","112","3236","2914","142198292"
"76","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","41","183","177","6707931"
"76","SANTE HUMAINE (QA)","Ensemble","22","141","128","5806258"
"77","ACTION SOCIALE (QB)","Ensemble","4","s","360","10311113"
"77","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","57","575","536","25877281"
"77","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","3","0","s","s"
"77","SANTE HUMAINE (QA)","Ensemble","4","s","s","s"
"78","ACTION SOCIALE (QB)","Ensemble","5","s","s","s"
"78","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","51","767","690","29883295"
"78","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","5","s","s","s"
"78","SANTE HUMAINE (QA)","Ensemble","4","s","s","s"
"79","ACTION SOCIALE (QB)","Ensemble","1","s","s","s"
"79","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","44","8362","7848","418080568"
"79","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","6","72","68","2280062"
"79","SANTE HUMAINE (QA)","Ensemble","4","s","s","s"
"80","ACTION SOCIALE (QB)","Ensemble","1","s","s","s"
"80","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","52","461","436","17030347"
"80","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","4","s","s","s"
"80","SANTE HUMAINE (QA)","Ensemble","5","s","s","s"
"81","ACTION SOCIALE (QB)","Ensemble","10","111","90","2157649"
"81","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","42","504","461","16881482"
"81","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","15","126","116","3134101"
"81","SANTE HUMAINE (QA)","Ensemble","23","462","401","13181560"
"82","ACTION SOCIALE (QB)","Ensemble","7","223","182","4591890"
"82","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","26","319","297","12234053"
"82","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","4","s","s","s"
"82","SANTE HUMAINE (QA)","Ensemble","3","s","s","s"
"83","ACTION SOCIALE (QB)","Ensemble","10","359","319","8320566"
"83","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","67","659","615","25646611"
"83","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","13","68","66","2389680"
"83","SANTE HUMAINE (QA)","Ensemble","13","631","533","23655046"
"84","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","60","551","504","20321658"
"84","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","16","45","40","1549721"
"84","SANTE HUMAINE (QA)","Ensemble","13","162","126","5892852"
"85","ACTION SOCIALE (QB)","Ensemble","1","s","s","s"
"85","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","46","403","362","12641088"
"85","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","31","s","s","s"
"85","SANTE HUMAINE (QA)","Ensemble","9","s","s","s"
"86","ACTION SOCIALE (QB)","Ensemble","6","371","311","7408753"
"86","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","36","575","537","23212527"
"86","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","10","45","41","1261462"
"87","ACTION SOCIALE (QB)","Ensemble","26","405","359","9379690"
"87","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","44","278","254","9523592"
"87","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","18","141","127","4243241"
"87","SANTE HUMAINE (QA)","Ensemble","14","162","153","5890495"
"88","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","32","249","230","8394362"
"88","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","6","29","27","793908"
"88","SANTE HUMAINE (QA)","Ensemble","8","101","84","3044038"
"89","ACTION SOCIALE (QB)","Ensemble","11","281","228","5599312"
"89","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","33","295","283","11049294"
"89","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","7","s","s","s"
"89","SANTE HUMAINE (QA)","Ensemble","2","s","s","s"
"90","ACTION SOCIALE (QB)","Ensemble","4","s","94","2435002"
"90","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","20","157","124","4771280"
"90","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","5","s","55","1622338"
"90","SANTE HUMAINE (QA)","Ensemble","10","s","46","2071461"
"91","ACTION SOCIALE (QB)","Ensemble","2","s","s","s"
"91","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","46","593","518","21070021"
"91","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","2","s","s","s"
"91","SANTE HUMAINE (QA)","Ensemble","2","s","s","s"
"92","ACTION SOCIALE (QB)","Ensemble","5","s","36","1489659"
"92","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","66","2516","2446","137353283"
"92","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","7","s","39","1235402"
"92","SANTE HUMAINE (QA)","Ensemble","5","s","281","10952107"
"93","ACTION SOCIALE (QB)","Ensemble","1","s","s","s"
"93","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","47","625","576","24376229"
"93","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","4","s","s","s"
"93","SANTE HUMAINE (QA)","Ensemble","8","s","s","s"
"94","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","47","1351","1263","51882962"
"94","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","3","s","11","s"
"94","SANTE HUMAINE (QA)","Ensemble","3","s","40","s"
"95","ACTION SOCIALE (QB)","Ensemble","5","312","281","8688355"
"95","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","27","190","168","7283227"
"95","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","5","s","s","s"
"95","SANTE HUMAINE (QA)","Ensemble","4","s","s","s"
"971","ACTION SOCIALE (QB)","Ensemble","2","s","s","s"
"971","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","32","287","273","12214887"
"971","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","2","s","s","s"
"972","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","30","s","s","s"
"972","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","2","s","s","s"
"973","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","11","s","42","1710631"
"974","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Ensemble","37","668","608","27030726"
"974","AUTRES SECTEURS D ACTIVITE DES MUTUELLES","Ensemble","4","26","24","804669"
"1","ACTION SOCIALE (QB)","Action sociale sans hebergement","1","s","s","s"
"1","ACTION SOCIALE (QB)","Hebergement medico-social et social","3","s","s","s"
"1","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","3","10","9","376309"
"1","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","49","403","367","14384386"
"2","ACTION SOCIALE (QB)","Hebergement medico-social et social","1","s","s","s"
"2","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","4","9","8","368913"
"2","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","45","360","347","13809990"
"3","ACTION SOCIALE (QB)","Action sociale sans hebergement","3","66","50","1340943"
"3","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","1","s","s","s"
"3","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Assurances","33","s","s","s"
"4","ACTIVITES FINANCIERES ET ASSURANCES (KZ)","Activites de services financiers et d assurances","1","s","s","s"
